,,,,,,,,,,,,
IE,6.0-9.0 old versions,with ChromeFrame,,,,,,,,,,
IE,10.0,?,,,,,,,,,,
Firefox,?-17,yes,,,,,,,,,,
Firefox,18-19 future,yes,,,,,,,,,,
Chrome,18-23,yes,,,,,,,,,,
Chrome,24-25 future,yes,,,,,,,,,,
Safari,6.0,if enabled,,,,,,,,,,
iOS Safari,6.0,disable by Apple,,,,,,,,,,
Android Browser,4.0-4.1,no,,,,,,,,,,
Blackberry Browser,7.0,no,,,,,,,,,,
Blackberry Browser,10.0 future,yes,,,,,,,,,,
Chrome for Android,18.0,no,,,,,,,,,,
Firefox for Android,15,yes,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,